hashtag,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-17,2022-08-18,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31
#花火,8,4,3,3,0,1,1,0,1,0,8,19,11,6,23,13,2,6,4,6,1,8,2,3,2,0,0,0,1,1,2
#夏,6,6,4,2,1,1,7,5,1,3,4,8,12,10,9,9,4,6,3,4,4,6,5,6,2,3,0,2,1,1,2
#何気ない瞬間を残したい,7,6,2,3,6,2,10,6,3,4,3,3,1,5,3,10,6,13,1,3,3,3,7,3,7,2,1,6,4,1,3
#越前市,0,3,3,3,2,2,0,2,1,5,4,4,3,4,17,12,2,8,5,5,3,5,4,2,3,3,13,5,2,4,5
#キリトリセカイ,6,6,1,5,3,6,14,5,11,6,7,2,1,7,1,4,2,7,5,1,4,2,5,6,5,0,2,4,2,2,1
#bestphoto_japan,3,5,2,2,2,4,4,1,4,3,8,14,12,12,3,11,2,3,2,2,5,5,2,4,2,3,1,2,0,4,4
#photoplusme,5,2,1,2,3,1,6,4,1,2,2,3,2,2,2,8,8,15,3,2,6,2,7,5,9,2,1,7,8,4,6
#japan_waphoto,3,2,4,3,2,0,4,3,0,6,1,8,7,3,5,7,5,4,3,1,5,3,6,6,9,0,2,7,9,6,6
#happy_rainbowclub,5,0,3,4,5,1,5,5,1,1,2,2,2,2,2,5,8,4,5,4,4,3,7,4,10,1,2,7,10,5,7
#jp_mood,5,4,1,2,5,1,4,2,1,3,0,4,1,1,3,7,8,14,4,1,4,2,6,4,8,0,2,4,9,4,6
#福井のいいところ,5,9,2,5,3,7,6,7,5,1,7,2,1,7,3,2,3,1,1,4,3,6,2,1,3,1,3,8,3,3,6
#sorakataphoto,7,5,3,1,2,2,1,1,1,4,1,13,7,10,6,6,3,5,3,6,8,4,3,5,2,3,1,2,1,2,1
#福井グルメ,3,3,2,5,2,1,5,2,3,3,4,2,4,7,6,4,5,1,2,4,4,2,2,4,2,1,7,4,6,8,3
#花火大会,7,4,1,4,1,0,2,1,0,0,8,7,10,5,15,14,3,8,3,5,0,1,0,2,2,0,0,3,1,1,2
#はなまっぷ,9,3,2,4,6,6,11,3,8,6,2,6,2,3,1,1,5,0,1,3,1,5,4,3,2,1,0,3,2,3,1
#写真で福井の魅力を伝えたい,2,6,2,6,8,6,2,4,5,5,2,3,5,1,5,2,5,3,0,2,10,4,2,4,3,1,1,1,3,4,0
#discover,1,2,3,1,3,1,4,1,2,0,2,7,5,8,10,9,4,14,5,2,1,5,2,4,1,1,0,4,0,2,1
#wu_japan,4,3,3,0,0,1,1,1,2,3,0,9,3,9,2,10,6,5,6,5,2,2,2,7,3,2,2,2,5,3,1
#children_jp,3,0,1,1,2,0,3,3,0,1,1,1,1,1,2,5,8,14,3,1,4,2,6,3,9,0,1,7,8,4,6
#fukuiprefecture,11,6,4,3,3,2,4,3,2,3,5,4,4,4,5,6,3,3,1,2,2,2,2,0,3,2,2,3,3,2,2
#kids_japan,4,1,2,2,2,1,5,3,1,2,1,3,2,2,3,7,8,14,3,1,5,2,6,1,6,0,1,4,2,1,3
#越前町,3,0,1,1,0,3,2,4,3,2,6,2,4,6,2,2,5,2,2,2,7,5,7,1,6,0,0,5,5,3,6
#nipponpic,5,2,3,2,3,2,2,0,1,3,2,8,6,7,3,12,3,5,1,3,5,3,2,4,1,1,1,1,2,2,1
#一瞬のときめきを永遠に,5,3,2,1,2,3,7,1,2,3,4,2,2,3,3,5,5,11,0,1,1,6,3,1,4,1,2,1,1,8,3
#daily_photo_jpn,3,3,2,0,0,3,2,1,3,3,3,5,4,6,2,7,4,4,2,8,6,6,2,4,3,2,1,2,1,1,2
#nature,10,5,1,3,0,2,2,7,0,3,2,10,4,3,3,2,4,3,5,1,1,2,1,2,1,1,3,2,3,2,4
#instagood,4,5,2,4,3,3,5,5,2,4,4,6,7,3,3,3,5,1,2,0,0,1,1,2,1,1,0,3,5,3,3
#海,4,4,1,4,3,6,0,7,1,3,5,4,2,4,2,3,1,4,5,1,4,1,1,2,4,4,0,3,3,1,3
#敦賀市,6,5,1,3,5,2,2,1,3,4,1,2,5,3,2,0,1,2,2,2,6,8,0,5,1,1,3,2,2,6,2
#お写んぽ,5,2,1,4,1,3,3,1,6,3,5,3,3,3,3,0,3,2,4,3,1,5,2,1,2,3,1,4,2,3,7
#広がり同盟,2,4,0,2,3,1,1,5,1,3,3,11,6,4,8,7,2,3,3,2,4,5,0,4,0,1,2,0,1,0,1
#みんすと,6,3,4,3,2,2,6,5,1,4,4,4,3,3,5,4,7,3,1,3,1,4,1,2,0,0,0,2,1,2,1
#j_world_jp,3,0,1,1,2,0,3,3,0,1,2,3,4,3,6,6,7,13,4,1,1,2,3,0,6,0,1,4,2,1,3
#great_myshotz,5,2,1,1,2,1,5,3,1,1,1,2,2,2,2,3,6,12,1,3,2,3,3,1,6,0,1,5,2,3,3
#total_japan,3,1,4,1,1,2,1,2,1,5,2,6,9,5,5,7,4,3,5,0,3,1,1,0,2,1,3,1,2,2,2
#photooftheday,1,3,1,4,1,2,4,7,4,2,3,6,8,1,5,4,6,1,1,1,2,1,0,1,1,1,1,3,4,2,3
#ダレカニミセタイケシキ,1,2,2,1,1,1,3,2,6,6,1,4,5,2,6,3,3,3,0,3,6,1,1,4,1,0,1,3,5,5,2
#夕焼け雲,0,0,1,1,0,0,27,0,0,0,1,0,23,1,0,0,0,0,0,26,0,0,4,0,0,0,0,0,0,0,0
#漁船,0,0,0,0,0,0,29,0,0,0,0,0,23,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,28,0,0
#言葉より鮮明な記憶を残す,5,0,1,1,3,0,7,4,1,1,2,2,2,1,2,3,6,12,0,2,2,2,5,1,6,2,1,4,2,1,3
#あわら市,0,3,0,6,4,10,4,7,5,3,1,3,4,1,3,3,4,1,0,1,2,3,0,2,0,2,0,4,1,2,4
#キタムラ写真投稿,4,1,3,4,1,0,3,2,3,4,2,4,4,6,4,3,1,1,2,6,1,2,4,2,1,1,3,5,1,5,0
#jalan_travel,0,1,0,1,0,0,0,4,2,6,3,7,5,3,7,3,5,0,4,1,5,6,2,4,1,2,1,1,2,3,3
#art_of_japan,1,2,1,0,1,0,0,0,0,0,0,1,0,3,1,5,5,6,5,1,7,2,4,7,6,1,1,3,8,6,5
#retrip_nippon,3,0,1,0,1,1,4,3,9,5,4,8,5,2,0,5,3,2,0,3,3,1,2,4,1,0,1,3,2,2,2
#1x_japan,1,1,3,1,2,1,0,1,0,2,1,6,7,9,8,9,3,4,6,0,2,2,1,2,1,0,2,1,1,1,0
#パリオ夏フォトコン,1,1,0,1,7,1,8,5,2,3,4,6,2,1,4,4,6,13,1,0,6,0,0,2,0,0,0,0,0,0,0
#三国花火,0,0,0,0,0,0,0,0,0,0,16,16,9,8,9,8,4,2,0,1,0,0,0,2,1,0,0,1,0,0,1
#otonatabi_japan,4,1,3,3,1,2,1,2,2,6,3,1,4,2,4,5,1,2,2,1,4,1,2,4,2,1,1,4,2,3,3
#ptk_japan,3,5,2,1,0,0,2,0,1,2,1,7,5,6,5,7,2,6,6,4,1,1,1,3,2,0,0,0,1,2,1
#風景,2,5,0,4,1,1,2,5,2,3,3,3,3,3,4,1,5,2,2,2,4,2,0,2,2,0,1,5,2,4,2
#s_shot,4,4,4,1,1,1,1,3,0,1,1,5,6,6,5,6,4,3,7,1,1,2,1,1,3,1,1,1,0,1,0
#my_eos_photo,5,2,0,2,3,1,1,2,2,3,4,9,3,4,3,2,3,4,1,1,2,4,1,2,0,3,0,4,1,1,3
#まいおおのとっておきのまいおおの,3,0,0,0,0,0,0,1,0,5,0,2,1,0,7,13,1,1,0,1,1,1,2,5,6,1,2,4,7,9,3
